,formula,target
507,B8 Co3.03 Ru18 Ti7.97,1
508,As1 Co1 Ni1,0
509,As0.26 Cu3 S4 Sb0.74,1
510,O3 Pr0.66 Ti1,2
511,Fe7.6 Gd1.12 Mo3.56,3
512,Ag1 F4 Na1,0
513,Cu11 Ga13 Sm2,1
514,Bi1 Br1 O2 Sr1,0
515,Al1.8 Dy1 Fe1.2,1
516,Ni15 O16,2
517,Bi1 Fe0.875 Mn0.125 O3,1
518,Cu0.1 Fe2 Mg0.05 Ni0.34 O4 Zn0.51,1
519,Fe0.6 Mn0.4 Si2,1
520,Ba25 Cu18 O49 Zn4,2
521,B9 Ba2 K1 O19 Zn3,1
522,Mo16 O24 Pb3,2
523,Ag1 O3 Ta1,0
524,As2 Ba1 Co1 O5,0
525,C2 Si2 Y3,2
526,F2 O7 Ru2 Sr3,2
527,As2 Ba5 O12 S2,1
528,P3 Sn4,0
529,Co0.5 O3 Sr1 W0.5,1
530,La1 Mn0.4 Ni4.6,1
531,Er4.6 Mn0.4 S7,1
532,Cd4 Ga5 K1 Se12,1
533,Cs6 Gd2 O24 S6,0
534,As0.6 S0.4 U1,1
535,Ge2 La3 Ni1,0
536,Ba1 Dy2 Se4,0
537,Mg2 O4 Sn1,1
538,Ni1 P1 Zr1,0
539,Cl2 Co0.2 Fe1.8 O4 Sr3,1
540, As0.12 Cu2.12 Fe1.24 Mo0.36 S2.84 Sb0.04 Sn0.2 Te0.08 Zn0.04,3
541,Al3 Y0.7 Yb0.3,1
542,O2 U0.9 Zr0.1,1
543,C1 Fe2 O9 Sr4,2
544,Ba0.33 Fe0.15 La0.67 Mn0.85 O3,1
545,Hg0.75 Th0.25,1
546,Ba0.4 Mg1 O6 Sr1.6 Te1,1
547,Al5 Ce1 Pt3,0
548,Ag0.37 Br3 O1 W1,2
549,Cu2.09 Na2 O0.5 S2,2
550,Cu2 La1 Ni3,1
551,La3 Mn4 Sn4,0
552,C2 K2 Mg1 O6,0
553,Fe1 Mn2 O4,1
554,C2 Si2 U3,0
555,Cs3 Mo6 O38 P10,0
556,Li1 Mg0.025 Ni0.975 O2,1
557,Fe3 Li1.16 O4,3
558,Ge0.2 Ni1 Zn0.8,1
559,Ba1 Ge3.125 O9 Si0.875,1
560,Cd0.04 Fe0.24 S1 Zn0.72,1
561,F2.66 O0.67 Zr1,3
562,Eu0.399 Mo0.5 Na0.572 O4 W0.5,3
563,Dy0.55 Fe0.2 Mn0.8 O3 Sr0.45,1
564,Co2 S2 Tl1,0
565,Li0.32 N3.56 O7.64 Sr3.68 Ta3.68,3
566,Fe0.012 O3 Pb0.7 Sr0.3 Ti0.988,1
567,Ge1 Zr1,0
568,Ca2 La3 O14 Sb3,1
569,B1 Co0.25 Li1 O3 Zn0.75,3
570,As1 La3 P4 Ti1,1
571,Hf1.6 O7 Ti0.4 Y2,3
572,Ge4 La5,0
573,P3 Rh1 Si3,1
574,Ca0.38 O3 Ti1 Y0.62,1
575,Ce0.67 Lu0.33 O1.83,3
576,Nd1 Os4 P12,0
577,Ce0.8 Gd1.2 O7 Ti2,1
578,Ge3 Hf0.8 Nb4.2,1
579,Ba0.9 O4 Pb0.1 W1,1
580,Ga3.3 La6 Se14,2
581,As0.33 Cu0.56 Ge0.44 Se0.67,1
582,Nb1 O3 Sr1,0
583,Hf1 O2.96 Sr1,2
584,I12 La6.43 Li0.57 Os1,1
585,As2 Cu1 U1,0
586,Ce1 Na1 O6 Ti2,1
587,Fe1 S6 Ta3,0
588,B4 Ca3 Gd2 O12,1
589,La0.29 O3 Sr0.67 Ti0.95,3
590,As3 Hf2 Ni3,0
591,Cu1 Nd1 Sb2,0
592,Ce0.9725 Ni2,2
593,C2 Ca1,0
594,S3 Sb2,0
595,In2 Mg0.5 O8 Zn4.5,1
596,C4 Cu8 Ge5 N8 S16,0
597,As8 Cu12 S18,0
598,Sb2 Sm1 Zn0.62,2
599,Cu1.8 Ni1.2 Sn1,1
600,Ba0.77 O8 P2 Sr2.23,1
601,C4 Ho4 Ni13,0
602,N2 Sn3 Sr7,0
603,Cu1.999 Fe1.001 Ho1 O7.4 Sr2,3
604,F10 Hf1 Pb3,2
605,Ba0.15 Bi0.8 Fe1 Nd0.05 O3,1
606,In1 Ir1 Tb4,0
607,Al2 Ho1,0
608,Ga1 Na1 O4 Si1,0
609,Cl1 Na1 O4,2
610,Ba1 Mo0.5 Ni0.5 O3,1
611,La0.68 Mn0.83 O3 Pb0.32 Ti0.17,1
612,Cl14 Eu1 W6,0
613,Au0.9 Ba1 Ge3.1,1
614,C2 Cl2 O2 Pt1,0
615,Rh4 Sm3 Sn13,0
616,Br0.75 Cl0.25 Eu0.01 O12 P3 Sr4.99,1
617,B1 Ge1 La1 O5,0
618,Ba4 Ge40 K4 Zn6,3
619,Ce2 In1 Pt2,0
620,C10.8 Al9.6 Cs9.6 O117.6 Si38.4,3
621,Cl16 Ru2 S6,0
622,Ge1 La1 O8 Sr2 V1,1
623,Al1 Ca0.99 Eu0.01 N7 Si4,3
624,As1 Cl1 F6 N2 S2 Se1,0
625,Er1 Ga3 Ru1,0
626,Cs3.6 Cu8 Ge6 S18,2
627,Eu2 S5 Sn1,2
628,Cd6 Tm1,2
629,Al25.6 Au7.4 Ca3 Zr1,3
630,Al2 Te4 Zn1,0
631,Si2 Th1,0
632,Ba4 O12 Ru3 Sm1,0
633,Co0.1 La0.7 Mn0.9 O3 Pb0.3,1
